nct_id,brief_title,official_title,overall_status,start_date,sponsor,condition,phase,intervention_name,intervention_type,primary_outcome,secondary_outcome,country,study_type,enrollment
NCT06770504,A Study of YTS109 Cell Injection in Subjects With Relapsed/Refractory Autoimmune Hemolytic Anemia,The Safety and Efficacy of YTS109 Cell Injection for Relapsed/Refractory Autoimmune Hemolytic Anemia Patients After Receiving Three or More Lines of Therapy.,NOT_YET_RECRUITING,2025-01-16,"Institute of Hematology & Blood Diseases Hospital, China",Autoimmune Hemolytic Anemia | Anti-CD19 STAR T-cell Therapy | Failure ≥3 Lines of Therapies,PHASE1,YTS109,BIOLOGICAL,Dose Limiting Toxicity | The incidence and frequency of treatment-emergent adverse events | Best overall response rate (BOR) of each dose group | Objective response rate (ORR) of each dose group | Time to response (TTR),,,INTERVENTIONAL,7
NCT04688502,Effects of Wearing a Face Mask During CrossFit Exercise,The Effects of Wearing a Face Mask During COVID-19 on Performance and Intensity Markers During CrossFit Exercise,WITHDRAWN,2022-06-11,University of Saskatchewan,Dyspnea,NA,High intensity interval training + Continuous exercise training,OTHER,"Change from baseline in box jumps | Change from baseline in pull-up, push-up, and squat repetitions",Change from baseline in rating of perceived exertion | Change from baseline in heart rate | Change from baseline in dyspnea,Canada,INTERVENTIONAL,0
NCT01108705,Comparison of Brivanib and Best Supportive Care (BSC) With Placebo and BSC for Treatment of Liver Cancer in Asian Patients Who Have Failed Sorafenib Treatment,"A Randomized, Double-blind, Multi-center Phase III Study of Brivanib Plus Best Supportive Care (BSC) Versus Placebo Plus BSC in Asian Subjects With Advanced Hepatocellular Carcinoma (HCC) Who Have Failed or Are Intolerant to Sorafenib",TERMINATED,2010-05,Bristol-Myers Squibb,"Carcinoma, Hepatocellular",PHASE3,Brivanib + Placebo,DRUG,Compare overall survival of subjects with advanced HCC who have progressed on/after or are intolerant to sorafenib and receive brivanib plus best supportive care (BSC) to those receiving placebo plus BSC,"Compare time to progression (TTP) using modified RECIST for HCC | Compare objective response rate (ORR) and disease control rate (DCR) using modified RECIST for HCC | Assess duration of response, duration of disease control and time to response | Assess serious and nonserious adverse events, laboratory evaluations, significant physical examination findings and ECG results","China, Singapore, South Korea, Taiwan",INTERVENTIONAL,87
NCT00002185,"A Pilot, Open-Label, Phase II, Randomized Study to Determine the Effects of Viracept on the Outcome of Cutaneous and Mucosal KS in AIDS Patients With CD4 <= 500 Cells/mm3","A Pilot, Open-Label, Phase II, Randomized Study to Determine the Effects of Viracept on the Outcome of Cutaneous and Mucosal KS in AIDS Patients With CD4 <= 500 Cells/mm3",COMPLETED,,Agouron Pharmaceuticals,"Sarcoma, Kaposi | HIV Infections",PHASE2,Nelfinavir mesylate,DRUG,,,United States,INTERVENTIONAL,20
NCT06297148,The HIP Self-management Study,Self-management Program for Greater Trochanteric Pain Syndrome: a Randomized Controlled Trial,ACTIVE_NOT_RECRUITING,2024-03-12,Oslo University Hospital,GTPS - Greater Trochanteric Pain Syndrome | Gluteal Tendinopathy | Trochanteric Bursitis | Lateral Hip Pain,NA,Self-management + Usual care,OTHER,Victorian Institute of Sport Assessment Gluteal Questionnaire (VISA-G),Numeric rating scale (NRS) | Painful sites | The Pain Self-Efficacy Questionnaire (PSEQ) | EuroQoL-5 dimensions-5 Level (Eq-5D-5L) | Hopkins Symptoms checklist-10 (HSCL-10) | iMTA Medical Consumption Questionnaire (iMCQ) | iMTA Productivity Cost Questionnaire (iPCQ) | Expectations related to VISA-G | Expectations on numeric rating scale (NRS) | Global rating of change (GROC) | Patient acceptable symptom state (PASS),Norway,INTERVENTIONAL,110
NCT02537392,Multi-micronutrient Supplementation During Peri-conception and Congenital Heart Disease,Primary Prevention of Multi-micronutrient Supplementation During Peri-conception Against Congenital Heart Disease: A Community-based Randomised Controlled Trial in China,COMPLETED,2015-09,Xi'an Jiaotong University,Congenital Heart Disease,NA,Vitamin B Complex and Folic Acid + Iron and Folic Acid + Folic Acid,DIETARY_SUPPLEMENT,Neonatal pulse oximetry oxygen saturation measured by pulse oximetry,"Incidence of congenital heart disease and the subtypes | Incidence of birth defects and the subtypes | Birth weight measured by baby scale | Incidence of low birth weight | Gestational age at birth | Incidence of preterm birth | Incidence of perinatal mortality | Incidence of stillbirth | Incidence of neonatal mortality | Incidence of early neonatal mortality | Incidence of pregnancy complications: hypertension, preeclampsia, antepartum haemorrhage, and infections",China,INTERVENTIONAL,7315
NCT01976949,Evaluation of a Social-networking Intervention to Reduce Cancer-related Distress,Evaluation of a Social-networking Intervention to Reduce Cancer-related Distress,COMPLETED,2009-07,Loma Linda University,Cancer Survivors With Clinically Significant Distress,NA,online social-networking intervention,BEHAVIORAL,Change in -Overall Psychological Functioning (OQ-45) | Change in-Center for Epidemiologic Studies Depress (CES-D) scale | Anxiety,Fatigue | Vigor,United States,INTERVENTIONAL,347
NCT01837641,A Study of LY3002813 in Participants With Alzheimer's Disease,"A Single-Dose and Multiple-Dose, Dose-Escalation Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of LY3002813 in Patients With Mild Cognitive Impairment Due to Alzheimer's Disease or Mild to Moderate Alzheimer's Disease",COMPLETED,2013-05-03,Eli Lilly and Company,Alzheimer Disease,PHASE1,LY3002813-IV + LY3002813-SC + Placebo-IV,BIOLOGICAL; DRUG,Number of Participants With One or More Serious Adverse Events (SAEs) Considered by the Investigator to be Related to Study Drug Administration,Pharmacokinetics: Maximum Concentration (Cmax) of LY3002813 | Pharmacokinetics: Area Under the Concentration Versus Time Curve From Time Zero to Infinity [AUC(0-∞)] of LY3002813,"Japan, United States",INTERVENTIONAL,63
NCT02073006,A Study to Evaluate the Effects of a Natural Supplement in Adults With Chronic Functional Constipation,"A Randomised, Double-blind, Placebo-Controlled, Parallel Study to Evaluate the Effects of Lepicol® in Adults With Chronic, Functional Constipation",COMPLETED,2014-02,Atlantia Food Clinical Trials,Constipation,"PHASE2, PHASE3",Natural Fibre Supplement,DIETARY_SUPPLEMENT,Number of bowel movements per week,"Stool consistency, as measured by the Bristol Stool Form Scale | Quality of life as measured by the Quality of Life Questionnaire (PAC-QOL) | Constipation symptoms as measured by PAC-SYM | Laxative use by subjects with functional constipation",Ireland,INTERVENTIONAL,70
NCT05931627,Tourniquet Use in Anterior Cruciate Ligament Repair,The Implications of Tourniquet Use on Early Quadriceps Function in Anterior Cruciate Ligament Reconstructions: A Randomized Controlled Trial,ENROLLING_BY_INVITATION,2024-03-08,"OrthoCarolina Research Institute, Inc.",ACL - Anterior Cruciate Ligament Deficiency | ACL Injury | ACL Tear,NA,Patients undergoing ACL reconstruction with or without a tourniquet,PROCEDURE,Limb symmetry index (LSI),Arthroscopic visibility | Operative time | Intra-operative opioid requirements | PACU opioid requirements | Post-operative pain in PACU | LSI of peak strength and rate of torque development of the quadriceps | LSI of peak strength and rate of torque development of the quadriceps | Quadriceps circumference | Number of days post-operatively until the patient can complete a straight leg raise with no extensor lag at physical therapy. | Number of days post-operatively until the patient can actively hyper-extend their knee at physical therapy. | IKDC and the Marx Activity Rating Scale scores | IKDC and the Marx Activity Rating Scale scores | Limb symmetry index (LSI) | Limb symmetry index (LSI),United States,INTERVENTIONAL,34
NCT02992132,Study to Examine the Safety and Efficacy of Pimavanserin for the Treatment of Agitation and Aggression in Alzheimer's Disease (SERENE),"A Double-Blind, Placebo-Controlled Study to Examine the Safety and Efficacy of Pimavanserin for the Treatment of Agitation and Aggression in Alzheimer's Disease",TERMINATED,2016-11,ACADIA Pharmaceuticals Inc.,Agitation and Aggression in Alzheimer's Disease,PHASE2,Pimavanserin 34 mg + Pimavanserin 20 mg + Placebo,DRUG; OTHER,Cohen-Mansfield Agitation Inventory (CMAI),Zarit Burden Interview,"Chile, France, Spain, United Kingdom, United States",INTERVENTIONAL,111
NCT07006155,Biograph Vision 600 Versus Biograph Vision.X PET/CT,Intra-individual Comparison of PET Scans on the Biograph Vision 600 With the New Biograph Vision.X PET/CT,RECRUITING,2025-05-01,Valentina Garibotto,Cancer | Alzheimer Disease,NA,Images,DEVICE,change of physician's diagnostic confidence,lowering of the radiotracer activity,Switzerland,INTERVENTIONAL,40
NCT03660228,Peri-Transfusion QOL Assessments (PTQA): A New Paradigm of Transfusion Decision Support for Patients With MDS,PTQA: A New Paradigm of Transfusion Decision Support for Patients With MDS,COMPLETED,2018-10-17,Dana-Farber Cancer Institute,Myelodysplastic Syndromes,NA,Peri-Transfusion QOL Assessment,OTHER,Number of Participants With Receipt of Second Transfusion | Median Difference in Units pRBCs (for Those Transfusion-dependent) | Number of Hospitalizations (for Both Transfusion Groups) | Number of Clinic Visits (for Both Transfusion Groups),PTQA Utilization | Number of Patients With Decisional Regret | Perceptions of Impact of PTQA on Care | Perceived Stress by the Associated Scales,United States,INTERVENTIONAL,62
NCT00636623,Comparison of Exercise and Massage in Fibromyalgia,Comparison of Pilates Exercises and Connective Tissue Massage in Females With Fibromyalgia,COMPLETED,2006-11,Pamukkale University,Fibromyalgia,NA,Pilates exercises + Connective tissue massage,OTHER,"Visual Analogue Scale, algometry, State-Trait Anxiety Inventory (STAI), Fibromyalgia Impact Questionnaire, and Nottingham Health Profile were used at baseline and at the end of the treatments.",,Turkey (Türkiye),INTERVENTIONAL,36
NCT06149169,CD19-targeted CAR T Cells for Relapsed and Refractory (R/R) Large B-cell Lymphoma,"An Open-Label, Single-Arm Study of Relma-cel, CD19-targeted Chimeric Antigen Receptor (CAR)T Cells for Relapsed and Refractory (R/R) LBCL",UNKNOWN,2023-08-17,"Shanghai Ming Ju Biotechnology Co., Ltd.","Lymphoma, Non-Hodgkin | Diffuse Large B Cell Lymphoma",PHASE2,CD19-targeted Chimeric Antigen Receptor(CAR) T Cells,BIOLOGICAL,Pharmacokinetic(PK)-Cmax of Relma-cel | Pharmacokinetic(PK)-Tmax of Relma-cel | Pharmacokinetic(PK)-AUC of Relma-cel,Objective response rate (ORR) in LBCL subjects | Best objective response rate ( Best ORR) in LBCL subjects | Complete response rate (CRR) in LBCL subjects | Adverse events (AEs) | Duration of response (DOR) | Progression-free survival (PFS) | Overall survival (OS) | Changes of serum cytokines-IL-2，IL-6，IL-8 and IFN- γ | Changes of inflammation biomarker-CRP | Changes of inflammation biomarker-serum ferritin,China,INTERVENTIONAL,10
NCT06833411,Treatment for Giant Cell Arteritis With Tocilizumab and 8 as Compared to 26 Weeks of Prednisone,"Treatment for Giant Cell Arteritis With Tocilizumab and 8 as Compared to 26 Weeks of Prednisone: a Randomized, Multicenter, Adaptive, Blinded, Phase III Study",NOT_YET_RECRUITING,2026-01,"Insel Gruppe AG, University Hospital Bern",Giant Cell Arteritis (GCA),PHASE3,Prednisone + Prednisone,DRUG,Absence of a major relapse from randomization to 52 weeks | Cumulative glucocorticoid exposure from randomization to 52 weeks,,Switzerland,INTERVENTIONAL,178
NCT05896046,SHR1701 Alone or in Combination With SHR2554 in Relapsed or Refractory Classical Hodgkin Lymphoma,An Open-Label Phase I/II Study of SHR1701 Alone or in Combination With SHR2554 in Relapsed or Refractory Classical Hodgkin Lymphoma,RECRUITING,2023-06-14,Chinese PLA General Hospital,Relapsed or Refractory Hodgkin Lymphoma,"PHASE1, PHASE2",SHR2554+ SHR1701 + SHR-1701,DRUG,Phase I : Adverse events | Phase I/ II: Complete response rate (CRR),Phase II: Objective response rate (ORR) | Phase II: Progression-free survival (PFS) | Phase II: Overal survival | Phase II: Duration of response (DOR),China,INTERVENTIONAL,100
NCT01471002,Study to Evaluate the Efficacy of Percutaneous Cryoablation for Renal Tumours < 4cm in Patients Who Are Not Candidates for Partial Nephrectomy,Prospective Study to Evaluate the Efficacy of Percutaneous Cryoablation for Renal Tumours < 4cm in Patients Who Are Not Candidates for Partial Nephrectomy,COMPLETED,2011-11,"University Hospital, Strasbourg, France",Renal Tumors Less Than 4 cm,NA,Galil Medical patented 17G Cryoablation Needles,DEVICE,Suspicious contrast enhancement and progression in size of the cryolesion detected by MRI,,France,INTERVENTIONAL,100
NCT02093429,Randomized Open-Label Study of INCB047986 in Subjects With Primary Myelodysplastic Syndrome (MDS),"A Randomized, Open-Label, 2-Stage Study of INCB047986 Administered Orally to Subjects With Primary Myelodysplastic Syndrome (MDS) Refractory to or Unlikely to Respond to Erythropoiesis-Stimulating Agents (ESAs)",TERMINATED,2014-01,Incyte Corporation,MDS (Myelodysplastic Syndrome),"PHASE1, PHASE2",INCB047986,DRUG,Proportion of subjects who achieve a response for Hematologic Improvement in Erythrocytes (HI-E) during any 8-week period within the first 16-week treatment period with INCB047986 Monotherapy. | Safety and tolerability of INCB047986 as assessed by summary of clinical laboratory assessments and summary of Adverse Events (AEs).,,United States,INTERVENTIONAL,6
NCT03608631,iExosomes in Treating Participants With Metastatic Pancreas Cancer With KrasG12D Mutation,Phase I Study of Mesenchymal Stromal Cells-Derived Exosomes With KrasG12D siRNA for Metastatic Pancreas Cancer Patients Harboring KrasG12D Mutation,RECRUITING,2021-01-27,M.D. Anderson Cancer Center,KRAS NP_004976.2:p.G12D | Metastatic Pancreatic Adenocarcinoma | Pancreatic Ductal Adenocarcinoma | Stage IV Pancreatic Cancer AJCC v8,"PHASE1, PHASE2",Mesenchymal Stromal Cells-derived Exosomes with KRAS G12D siRNA,DRUG,Maximum Tolerated Dose Determined by Dose Limiting Toxicity | Minimal residual disease rate in high-risk patients | Overall survival (OS) | Progression-free survival (PFS),,United States,INTERVENTIONAL,28
NCT01443221,Pharmacokinetics of Mitiglinide and Metformin in Free Combination and Fixed-dose Combination in Healthy Male Subjects.,"Open-label, Randomized, Single-dose, 2-way Crossover Study to Investigate Safety and Pharmacokinetics of Mitiglinide and Metformin in Free Combination and Fixed-dose Combination in Healthy Male Subjects.",COMPLETED,2010-12,JW Pharmaceutical,Healthy,PHASE1,mitiglinide and metformin + mitiglinide and metformin,DRUG,"Compare the pharmacokinetic profiles(Cmax, AUClast) of fixed-dose combination versus free dose combination in healthy volunteers","Compare the pharmacokinetic profiles(tmax, t1/2, AUC0-∞) of fixed-dose combination versus free dose combination in healthy volunteers",South Korea,INTERVENTIONAL,24
NCT05373914,RESPIRARE - Efficacy and Safety of Cudetaxestat in Patients With Idiopathic Pulmonary Fibrosis (IPF),"RESPIRARE - A Phase 2, Randomized, Double-blinded, Placebo-controlled, Efficacy and Safety Study of Cudetaxestat (BLD-0409) Assessed Across Three Dose Ranges With or Without Standard of Care (Nintedanib or Pirfenidone) in Patients With Idiopathic Pulmonary Fibrosis (IPF)",UNKNOWN,2022-05-31,Blade Therapeutics,Idiopathic Pulmonary Fibrosis,PHASE2,Cudetaxestat (BLD-0409) + Control: Matching Placebo,DRUG,Observed changes in FVC (L) from Baseline to Week 26,"Observed time to disease progression (FVCpp) decline of ≥10% or death | Observed time to disease progression (FVCpp) decline of ≥5% or death | Observed changes in Quantitative Lung Fibrosis (QLF) from Baseline to Week 26 | Incidence, nature and severity of treatment-emergent adverse events (TEAEs) and Serious Adverse Events (SAEs)",,INTERVENTIONAL,200
NCT02389543,"Study of Selinexor (KPT- 330), Lenalidomide, & Dexamethasone in Relapsed/Refractory Multiple Myeloma Patients","A Multi-Center, Phase 1/2, Open-Label Study of Selinexor (KPT- 330), Lenalidomide, and Dexamethasone in Patients With Relapsed/Refractory Multiple Myeloma",WITHDRAWN,2015-07,Karyopharm Therapeutics Inc,Multiple Myeloma,"PHASE1, PHASE2",Selinexor + Lenalidomide + Dexamethasone,DRUG,Determine maximum tolerated dose (MTD) | Overall response rate (ORR),,,INTERVENTIONAL,0
NCT03543878,Stimulating Neural Activity to Improve Blood Flow and Reduce Amyloid: Path to Clinical Trials,Stimulating Neural Activity to Improve Blood Flow and Reduce Amyloid: Path to Clinical Trials,COMPLETED,2018-11-16,Emory University,Alzheimer Disease,NA,Flicker,DEVICE,Percentage of Adherence to Daily Device Use | Percentage of Maximum Tolerated Stimulation,,United States,INTERVENTIONAL,10
NCT02463305,Therapeutic Modulation of the Intestinal Creatine Kinase System in Inflammatory Bowel Disease (IBD),Therapeutic Modulation of the Intestinal Creatine Kinase System in Inflammatory Bowel Disease (IBD),WITHDRAWN,2022-08,"University of Colorado, Denver","Colitis, Ulcerative",EARLY_PHASE1,Creatine monohydrate + Placebo,DRUG; OTHER,Improvement in endoscopic assessment of mucosal inflammation in ulcerative colitis.,Clinical response in ulcerative colitis disease activity. | Intestinal permeability | Patient symptom severity | Colonic inflammation | Creatine kinase modulation | Clinical remission of ulcerative colitis disease activity. | Creatine modulation,United States,INTERVENTIONAL,0
NCT02278120,"Study of Efficacy and Safety in Premenopausal Women With Hormone Receptor Positive, HER2-negative Advanced Breast Cancer","A Phase III Randomized, Double-blind, Placebo-controlled Study of LEE011 or Placebo in Combination With Tamoxifen and Goserelin or a Non-steroidal Aromatase Inhibitor (NSAI) and Goserelin for the Treatment of Premenopausal Women With Hormone Receptor Positive, HER2-negative, Advanced Breast Cancer",COMPLETED,2014-11-20,Novartis Pharmaceuticals,Advanced Metastatic Breast Cancer,PHASE3,Ribociclib + Tamoxifen + Letrozole + Anastrozole + Goserelin + Placebo,DRUG,Progression Free Survival (PFS) by Investigator Assessment,Overall Survival (OS) | Overall Response Rate (ORR) by Investigator Assessment | Clinical Benefit Rate (CBR) by Investigator Assessment | Time to Response (TTR) by Investigator Assessment | Duration of Response (DOR) by Investigator Assessment | Time to Definitive Deterioration of Eastern Cooperative Oncology Group Performance Status (ECOG PS) by at Least One Category of the Score | Time to Definitive 10% Deterioration in the Global Health Status/Quality of Life (GHS/QoL) Scale Score of the European Organization for Research and Treatment of Cancer's Core Quality of Life Questionnaire (EORTC QLQ-C30) | Change From Baseline in the GHS/QoL Scale Score of the EORTC QLQ-C30,"Argentina, Australia, Belgium, Brazil, Bulgaria, Canada, Colombia, France, Germany, Greece, Hong Kong, Hungary, India, Italy, Lebanon, Malaysia, Mexico, Poland, Portugal, Russia, Saudi Arabia, Singapore, South Korea, Spain, Switzerland, Taiwan, Thailand, Turkey (Türkiye), United Arab Emirates, United States",INTERVENTIONAL,672
NCT00401011,Safety & Efficacy Study of Perifosine + Bortezomib +/- Dexamethasone for Multiple Myeloma Patients,An Open-Label Phase I/II Study of the Safety and Efficacy of Perifosine and Bortezomib With or Without Dexamethasone for Patients With Relapsed or Refractory Multiple Myeloma Previously Treated With Bortezomib,COMPLETED,2006-08,AEterna Zentaris,Multiple Myeloma | Multiple Myeloma in Relapse,"PHASE1, PHASE2",Perifosine + Bortezomib + Dexamethasone,DRUG,Phase I: Maximum Tolerated Dose (MTD). Phase II: To determine response rate.,Phase II: Tolerability and Safety | Phase II: Correlative data,,INTERVENTIONAL,84
NCT06910735,Financial Incentives and Weight Loss in Failed Bariatric Surgery,Effect of Financial Incentives on Weight Loss in Patients With Failed Bariatric Surgery: A Multicenter Randomized Open-Label Trial,NOT_YET_RECRUITING,2025-04,Assistance Publique - Hôpitaux de Paris,Obesity | Obesity Recidivism,NA,Control + Threshold financial incentive + Proportional financial incentive,BEHAVIORAL; OTHER,Change from Baseline in body weight,Change from Baseline in body weight | Change from Baseline in blood pressure | Change from Baseline in Fasting Plasma Glucose | Change from Baseline in Glycated hemoglobin | Change from Baseline in Total Cholesterol | Change from Baseline in High-density Lipoproteins | Change from Baseline in Low-density Lipoproteins | Change from Baseline in Triglycerides | Change from Baseline in AST levels | Change from Baseline in ALT levels | Change from Baseline in the adherence to multivitamins intake | Change from Baseline in quality of life as measured by the Moorehead-Ardelt questionnaire | Change from Baseline in quality of life as measured by the EQ-5D-5L questionnaire | Rate of participants who achieve the predefined weight loss target | Difference in incremental cost-effectiveness ratio | Difference in the costs generated to the healthcare system | Difference in the costs avoided to the healthcare system,France,INTERVENTIONAL,264
NCT05855499,Plasma On Chronic Wounds for Epidermal Regeneration,"Plasma On Chronic Wounds for Epidermal Regeneration - Randomized, Controlled Clinical Trial to Investigate the Efficacy of Plasma Therapy for the Treatment of Chronic, Non-healing Wounds in Comparison to Standard Wound Therapy -",ACTIVE_NOT_RECRUITING,2021-10-01,Coldplasmatech,Chronic Ulcer of Lower Extremity,NA,"CPtcube, CPTpatch",DEVICE,Reduction in area of chronic wounds,Wound closures | Change in wound pain | Change in quality of life | Amount of germs/bacteria in the wound bed,Germany,INTERVENTIONAL,120
NCT00000132,Early Manifest Glaucoma Trial (EMGT),,UNKNOWN,1992-10,National Eye Institute (NEI),Open-Angle Glaucoma,PHASE3,Betaxolol + Argon Laser Trabeculoplasty,DRUG; PROCEDURE,,,Sweden,INTERVENTIONAL,
NCT05327582,"An Open-label, Phase I/II Study of PLENA Regimen in Patients With Unresectable Pancreatic Cancer or BTC","A Phase I/II, Open-label, One-arm, Single-center Study to Evaluate the Safety and Efficacy of the PLENA Regimen in Subjects With Unresectable Pancreatic Cancer or Biliary Tract Cancer",UNKNOWN,2022-04-12,Chinese PLA General Hospital,Pancreatic Cancer | Biliary Tract Cancer,"PHASE1, PHASE2",Durvalumab + Lenvatinib + Nab paclitaxel,DRUG,Number of Subjects with treatment-related adverse events (AEs) | Object response rate (ORR),Disease control rate (DCR) | Progression-free survival (PFS) | Overall survival (OS) | Number of participants with laboratory test abnormalities,China,INTERVENTIONAL,65
NCT07050979,Goal-Directed Fluid Therapy for Thoracoscopic Lobectomy,Goal-Directed Fluid Therapy Versus Conventional Fluid Therapy for Thoracoscopic Lobectomy in the ERAS Era: A Randomized Controlled Trial,COMPLETED,2024-06-01,Cukurova University,Thoracoscopic Lobectomy | Thoracic Anesthesia | Enhanced Recovery After Anesthesia | Lung Cancer,NA,Goal-Directed Fluid Therapy (GDFT) + Conventional Fluid Therapy,OTHER,Change in PaO2/FiO2 Ratio During One-Lung Ventilation,Postoperative Pulmonary Complications | Postoperative Cardiac Complications | Postoperative Renal Complications | Postoperative Infectious Complications | Quality of Recovery (QoR-15 Score) | Length of Hospital Stay | 30-Day Hospital Readmission Rate | Mortality Rate,Turkey (Türkiye),INTERVENTIONAL,80
NCT06936306,Effect of Professional Prophylaxis on Clinical Parameters and Patient Comfort: Randomized Slipt-Mouth Clinical Trial,Effect of Professional Prophylaxis on Clinical Parameters and Patient Comfort: Randomized Slipt-Mouth Clinical Trial,COMPLETED,2022-03-17,University of Lisbon,Dental Plaque | Gum Bleed,NA,GBT + Master + scalling,DEVICE; PROCEDURE,GBI,PCR | PI,Portugal,INTERVENTIONAL,25
NCT03924778,Modifying Diet to Improve Gut Microbiome,Modifying Diet and the Gut Microbiota to Reduce Obesity and Health Disparities,NOT_YET_RECRUITING,2026-07,H. Lee Moffitt Cancer Center and Research Institute,Obesity,NA,DASH diet + standard American diet,BEHAVIORAL,Mean Weight Change of Participants | Mean Weight Change of Participants | Mean Weight Change of Participants | Diet-specific changes in secondary bile acid | Diet-specific changes in secondary bile acid | Diet-specific changes in secondary bile acid | Diet-specific changes in inflammatory marker | Diet-specific changes in inflammatory marker | Diet-specific changes in inflammatory marker | Diet-specific changes in short chain fatty acids | Diet-specific changes in short chain fatty acids | Diet-specific changes in short chain fatty acids,,United States,INTERVENTIONAL,28
NCT06551285,"Study of the Effect of a Nutritional Supplement on Microbiota, Metabolic Control, Inflammatory Profile, and Quality of Life in Patients With Polycystic Ovary Syndrome.","Study of the Effect of a Nutritional Supplement on Microbiota, Metabolic Control, Inflammatory Profile, and Quality of Life in Patients With Polycystic Ovary Syndrome",RECRUITING,2024-02-01,Celia Bañuls,Polycystic Ovary Syndrome | Metabolic Syndrome,NA,Ovapro (Lifepro),DIETARY_SUPPLEMENT,Verify that nutritional intervention and inositol supplementation improve the symptoms of PCOS. | Evaluate the differences in the diversity of the intestinal microbiota depending on whether patients present PCOS or not.,Evaluate significant changes in body fat mass percentage after the dietetic intervention and dietetic supplement. | Assess significant changes in high-sensitivity C-reactive protein (hs-CRP) as an inflammatory parameter after the dietary intervention and dietetic supplement. | Evaluate significant changes in C3 protein as an inflammatory parameter after the dietetic intervention and dietetic supplement. | Evaluate significant changes in interleukin 1-beta (IL-1B) levels as a pro-inflammatory molecule after the dietetic intervention and dietetic supplement. | Evaluate significant changes in interleukin 6 (IL-6) levels as a pro-inflammatory molecule after the dietetic intervention and dietetic supplement. | Evaluate significant changes in tumor necrosis factor alpha (TNF-alpha) levels as a pro-inflammatory molecule after the dietetic intervention and dietetic supplement. | Assess significant changes in superoxide dismutase (SOD) levels after the dietetic intervention and dietetic supplement. | Evaluate if there is a significant reduction after the dietetic intervention in total ROS levels. | Assess if there is a significant reduction after the dietetic intervention in glutathione levels. | Analyze if there is a significant change after the dietetic intervention in total free radicals and superoxide levels. | Analyze if there is a significant reduction after the dietetic intervention in mitochondrial ROS production. | Evaluate if there is a significant improvement after the dietetic intervention in mitochondrial membrane potential.,Spain,INTERVENTIONAL,120
NCT06851078,"Evaluation of Early Administration of Levetiracetam in the Prevention and Treatment Encephalopathy in Septic Shock: Randomized, Double-blind, Placebo-controlled Trial","Evaluation de l'Administration précoce de lévétiracétam Dans la prévention et le Traitement de l'encéphalopathie au Cours du Choc Septique : Essai randomisé, en Double Aveugle, contrôlé Par Placebo",NOT_YET_RECRUITING,2025-03-15,Assistance Publique - Hôpitaux de Paris,Septic Shock,PHASE3,Levetiracetam IV + Placebo control,DRUG; OTHER,Number of days alive without delirium or coma,Mortality in intensive care | Mortality in intensive care | Mortality in hospital | Mortality in hospital | Overall survival | Duration of mechanical ventilation | Length of stay in intensive care unit | Length of stay in hospital | Occurrence of epileptic seizures | Time between cessation of sedation and awakening | Severity of cognitive impairment | Severity of anxiety and depression | Presence of post-traumatic stress (PTSD) | Quality of life scoring | Autonomy in daily life,,INTERVENTIONAL,280
NCT02324010,"Effects of Sitagliptin on Gastric Emptying, Glycaemia and Blood Pressure in Type 2 Diabetes","Effects of Sitagliptin on Postprandial Glycaemia, Incretin Hormones and Blood Pressure in Type 2 Diabetes - Relationship to Gastric Emptying",COMPLETED,2015-07,Royal Adelaide Hospital,Gastroparesis | Diabetes Mellitus,PHASE2,Sitagliptin + Placebo,DRUG,Gastric emptying,Glycaemia | Gastrointestinal hormone release | Intragastric meal distribution | Blood pressure | Heart rate | Splanchnic blood flow | Cardiac output | Stroke volume | Appetite,Australia,INTERVENTIONAL,14
NCT06582199,Precision Medicine in Alzheimer's Disease : Integration of Resilience Metrics and Risk Factors - Validation Cohort BioCogBank-AD,Precision Medicine in Alzheimer's Disease: Integration of Resilience Metrics and Risk Factors - Validation Cohort BioCogBank-AD,RECRUITING,2024-10-31,Assistance Publique - Hôpitaux de Paris,Alzheimer Disease,NA,Blood sample + Neuropsychological battery tests,BEHAVIORAL; OTHER,Mean levels of new blood biomarkers,Mini-Mental State examination (MMSE) | Cognitive performance (zScore) | Instrumental Activities of Daily Living (IADL) | Hospital Anxiety and Depression Scale (HADS) | Cognitive Reserve Index questionnaire (CRIq) | Cerebrospinal Fluid (CSF) biomarkers of AD,France,INTERVENTIONAL,244
NCT06424470,Study on the Treatment of Prurigo Nodularis With Stapokibart Injection,"A Randomized, Double-blind, Placebo-controlled Phase III Clinical Study Evaluating the Efficacy and Safety of Stapokibart Injection in Subjects With Prurigo Nodularis",ACTIVE_NOT_RECRUITING,2024-06-25,Keymed Biosciences Co.Ltd,Prurigo Nodularis,PHASE3,Stapokibart + Placebo,BIOLOGICAL; OTHER,Proportion of subjects improved by ≥ 4 points from baseline on the Worst Itch Numerical Rating Scale (WI-NRS) at week 24 of treatment.,,China,INTERVENTIONAL,200
