nct_id,brief_title,official_title,overall_status,start_date,sponsor,condition,phase,intervention_name,intervention_type,primary_outcome,secondary_outcome,country,study_type,enrollment
NCT03526640,Computed Tomography (CT) Guided Lung Biopsy With Plug,Computed Tomography (CT) Guided Lung Biopsy With Plug - Evaluation of Safety and Efficacy,UNKNOWN,2018-05-04,"University Hospital, Akershus","Computed Tomography, Biopsy, Pneumothorax, Chest Tube, Plug",NA,The BioSentry Tract Sealant System,DEVICE,Evaluate the rate of chest tube,,Norway,INTERVENTIONAL,560
NCT01264068,The Influence of Chinese Medicine on Metabolomics in Menopausal or Postpartum Women,,UNKNOWN,2008-08,Taipei City Hospital,Menopausal Women,PHASE3,"Finished Herbal Product such as Suan Tsao Jen Tang, Jia-Wey Shiau-Yau San",DRUG,Total metabolites detection using LC/MS/MS,1.Menopause rating scale (MRS) 2.Pittsburgh sleep quality index (PSQI),Taiwan,INTERVENTIONAL,60
NCT02636088,Definitive Chemoradiotherapy and Cetuximab in the Treatment of Locally Advanced Esophageal Cancer,"A Phase II Study With Oxaliplatin + 5-FU + Ceuximab and Radiotherapy for the Treatment of Non-resectable, Locally Advanced But Not Metastatic Cancer of Oesophagus or the Cardia.",UNKNOWN,2011-01,Gabriella Alexandersson von Döbeln,Esophageal Neoplasm,PHASE2,Cetuximab,DRUG,Local tumour Control,Progression-free survival | Toxicity | Patterns of relapse | Overall and disease-free survival | Quality of life,,INTERVENTIONAL,51
NCT03418805,To Evaluate the Food Effect and the Absorption Profile of Ibuprofen Controlled-Release Tablets 600 mg in Comparison to the Reference Standard Ibuprofen Tablets in Normal Healthy Volunteers,"A Randomized, 4-way Crossover Study to Evaluate the Food Effect and the Absorption Profile of Investigational Product of ""Ibuprofen Controlled-Release Tablets 600 mg"" in Comparison to the Reference Standard Ibuprofen Tablets 200 mg in Normal Healthy Volunteers",TERMINATED,2017-12-11,"Overseas Pharmaceuticals, Ltd.",Pain Control,PHASE1,Advil Ibuprofen table 200 mg + Motrin IB Ibuprofen Tablets 200 mg + Ibuprofen CR Tablets 600 mg,DRUG,"Area under the curve from time zero to the time of the last quantifiable plasma concentration of the period (AUC0-last) | Area under the curve from time zero to infinity (AUC0-inf) | Peak concentration at each treatment period (Cmax,tp)",Peak concentration of the first dosing (Cmax) | Time to reach peak concentration of the first dosing (Tmax) | Terminal half-life (T1/2) | Mean residence time (MRT) | The maximum ibuprofen plasma concentration within 1 hour after the first dose administration (Cmax0-1h) | The minimum ibuprofen plasma concentration within a time window of 1-12 hours after the first dose administration (Cmin1-12h) | The mean time to drop to the Cmin1-12h of reference treatments | Plasma ibuprofen concentrations at 8-hour (C8h) after the first dose administration | Plasma ibuprofen concentrations at 12-hour (C12h) after the first dose administration | Percentage of the test drug-treated subjects with higher or equal C8h compared to that of receiving the reference treatments (before dose 3) under fasting condition | Percentage of the test drug-treated subjects with higher or equal C12h compared to that of receiving the reference treatments under fasting condition,Taiwan,INTERVENTIONAL,31
NCT04499105,Effectiveness and Safety of Mesenchymal Stem Cell (MSC) Implantation on Degenerative Discus Disease Patients,Effectiveness and Safety of Allogenic Mesenchymal Stem Cell (MSC) Implantation on Degenerative Discus Disease Patients (Clinical Trial),UNKNOWN,2017-07-24,Ahmad Jabir Rahyussalim,Degenerative Disc Disease | Low Back Pain | Disc Degeneration,PHASE2,"Mesenchymal Stem Cell + NaCl 0,9% 2ml",DRUG,Improvement of Low Back Pain | Tissue Improvement,,Indonesia,INTERVENTIONAL,10
NCT00152893,To Determine if Chromium Nicotinate Supplementation Will Improve Insulin Resistance in HIV Patients With Metabolic Abnormalities,The Effects of Chromium Supplementation on Glucose and Lipid Metabolism in Patients With HIV Infection,COMPLETED,2002-08,Johane Allard,HIV Infections,PHASE2,chromium nicotinate + Placebo,DRUG,insulin resistance calculated using fasting glucose and fasting insulin levels in blood,"hemoglobin A1c (HbA1c) | blood lipid profile (triglycerides [TG], cholesterol or high-density lipoprotein [HDL]) | body composition by dual energy x-ray absorptiometry (DEXA) scan, bioelectric impedance analysis and skin fold measurement | oxidative stress | plasma chromium",Canada,INTERVENTIONAL,52
NCT01226992,Oral Vancomycin Followed by Fecal Transplant Versus Tapering Oral Vancomycin,Phase II/III Randomized Controlled Trial of Oral Vancomycin Followed by Fecal Transplantation Versus Tapering Oral Vancomycin for Recurrent Clostridium Difficile Infection (CDI),TERMINATED,2010-10,"University Health Network, Toronto",Recurrent Clostridium Difficile Infection | Laboratory Confirmed Clostridium Difficile Infection,"PHASE2, PHASE3",Vancomycin + Fecal Transplant,BIOLOGICAL; DRUG,A Randomized Controlled Trial of Oral Vancomycin Followed by Fecal Transplantation versus Tapering Oral Vancomycin Treatment for Recurrent Clostridium difficile Infection.,A Randomized Controlled Trial of Oral Vancomycin Followed by Fecal Transplantation versus Tapering Oral Vancomycin Treatment for Recurrent Clostridium difficile Infection.,Canada,INTERVENTIONAL,81
NCT06852716,A Study of in Elderly Patients With COPD on Long-term Home Oxygen Therapy Combined With MCI,A Study of Behavioural Change in Elderly Patients With Chronic Obstructive Pulmonary Disease on Long-term Home Oxygen Therapy Combined With Mild Cognitive Impairment Impairment: a Randomised Controlled Trial,COMPLETED,2022-06-01,Yuanjiao Yan,Chronic Obstructive Pulmonary Disease (COPD),NA,Health education based on BCW theory + Routine health education,OTHER,The execution of LTHOT | LTHOT Health Beliefs,,China,INTERVENTIONAL,80
NCT00434122,Exploratory Study Assessing Synchronisation of Egg Sacs With Degarelix,"A Randomised, Assessor-blind, Parallel Groups, Multi-centre, Exploratory Study Assessing the Impact of Subcutaneous Administration of Degarelix 2.5 mg on Synchronisation of Follicle Cohort Compared to Placebo and Evaluating the Effects of Degarelix 2.5 mg Started in the Mid-luteal or Early Follicular Phase on Endometrial Receptivity Compared to a Fixed Gonadotrophin Releasing Hormone Antagonist Protocol in Oocyte Donors Undergoing Controlled Ovarian Hyperstimulation for Assisted Reproductive Technologies",COMPLETED,2007-03,Ferring Pharmaceuticals,"Infertility, Female",PHASE2,"Degarelix mid-luteal, 2.5 mg + Placebo",DRUG,Coefficient of Variation of Follicular Sizes on Stimulation Day 1 (Follicles ≥ 2 mm),Frequency of Oocyte Donors With Adequate Secretory Transformation at the Endometrial Histology Evaluation 7 Days After Injection With Human Chorionic Gonadotrophin (hCG),"Belgium, Czechia, Spain",INTERVENTIONAL,85
NCT00754884,Calcitonin in the Treatment of Fibromyalgia,Phase IV Study of Nasal Salmon Calcitonin in the Treatment of Symptoms and Signs of Fibromyalgia,WITHDRAWN,2008-10,Unidad de Investigacion en Enfermedades Cronico-Degenerativas,Fibromyalgia,PHASE4,salmon calcitonin + intranasal saline solution plus glycerol,DRUG,"Functional status as assessed by the Fibromyalgia Impact Questionnaire (FIQ), a self-report inventory developed to measure health status in patients with fibromyalgia","Health related quality of life as assessed by WHO-DAS II, self-report questionnaire. Dolorimetry will be also used",Mexico,INTERVENTIONAL,0
